rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-27 14:50:33,1,1,8.27,37,37.33598934,127.1035198
2020-11-27 14:50:34,1,1,8.57,28,37.33594412,127.1035205
2020-11-27 14:50:35,1,1,9.0,26,37.33587757,127.1035212
2020-11-27 14:50:36,1,1,9.41,25,37.33580431,127.103522
2020-11-27 14:50:37,1,1,10.39,25,37.33575412,127.1035228
2020-11-27 14:50:38,1,1,11.21,25,37.33571034,127.1035237
2020-11-27 14:50:39,1,1,11.7,26,37.33566610000001,127.103525
2020-11-27 14:50:40,1,1,12.14,27,37.33561491,127.1035234
2020-11-27 14:50:41,1,1,12.32,28,37.33556176,127.1035229
2020-11-27 14:50:42,1,1,12.32,30,37.33549939,127.10352759999998
2020-11-27 14:50:43,1,1,11.37,30,37.3354393,127.1035307
2020-11-27 14:50:44,1,1,11.21,30,37.33537677,127.103531
2020-11-27 14:50:45,1,1,10.53,29,37.33531357,127.1035296
2020-11-27 14:50:46,1,1,10.39,28,37.33525988,127.10352749999998
2020-11-27 14:50:47,1,1,9.72,27,37.3351728,127.1031787
2020-11-27 14:50:48,1,1,9.53,27,37.33511803,127.10352140000002
2020-11-27 14:50:49,1,1,8.52,27,37.33504371,127.103518
2020-11-27 14:50:50,1,1,6.96,26,37.33498049,127.1035168
2020-11-27 14:50:51,1,1,5.99,21,37.33492271,127.1035135
2020-11-27 14:50:52,1,1,5.52,15,37.33488322,127.1035105
2020-11-27 14:50:53,1,1,5.23,11,37.3348592,127.1035083
2020-11-27 14:50:54,1,1,5.2,7,37.33483805,127.10350590000002
2020-11-27 14:50:55,1,1,5.36,5,37.3348313,127.10350459999998
2020-11-27 14:50:56,1,1,6.15,5,37.33482469,127.10350259999998
2020-11-27 14:50:57,1,1,7.66,5,37.33481895,127.1035006
2020-11-27 14:50:58,1,1,9.78,6,37.33481579,127.1034985
2020-11-27 14:50:59,1,1,12.05,11,37.33472168,127.1032235
2020-11-27 14:51:00,1,1,14.55,15,37.33469225,127.1032194
2020-11-27 14:51:01,1,1,16.59,21,37.33475868,127.1034925
2020-11-27 14:51:02,0,1,17.39,29,37.33472263,127.1034966
2020-11-27 14:51:03,1,1,16.75,31,37.33453307,127.1031806
2020-11-27 14:51:04,1,1,16.44,34,37.33444963,127.1031812
2020-11-27 14:51:05,1,1,16.0,35,37.33436464,127.10318390000002
2020-11-27 14:51:06,1,1,15.58,36,37.33427608,127.1031846
2020-11-27 14:51:07,0,1,15.58,38,37.33418793,127.1031894
2020-11-27 14:51:08,1,1,15.45,39,37.33409591,127.1031916
2020-11-27 14:51:09,1,1,14.92,40,37.33400441,127.1031921
