rtime,lkas,ldws,distance,speed,latitude,longtitude
2020-11-30 21:33:23,1,1,22.57,63,37.36701420000001,127.1031107
2020-11-30 21:33:24,1,1,7.57,65,37.3668608,127.1031113
2020-11-30 21:33:25,1,1,7.08,67,37.36669570000001,127.10311329999999
2020-11-30 21:33:26,1,1,5.05,70,37.36652578,127.10311429999999
2020-11-30 21:33:27,1,1,,72,37.36635051,127.10311599999999
2020-11-30 21:33:28,1,1,2.45,74,37.36623265,127.1031172
2020-11-30 21:33:29,1,1,,75,37.36606219,127.10312090000001
2020-11-30 21:33:30,1,1,26.49,76,37.36579676,127.1031219
2020-11-30 21:33:31,1,1,16.29,75,37.36561273,127.10312320000001
2020-11-30 21:33:32,1,1,11.05,75,37.36552573,127.10313529999999
2020-11-30 21:33:33,1,1,20.87,74,37.36534969,127.10313959999999
2020-11-30 21:33:34,1,1,19.38,75,37.36517566,127.10314170000001
2020-11-30 21:33:35,1,1,20.87,76,37.36500447,127.1031469
2020-11-30 21:33:36,1,1,23.95,77,37.36469105,127.1031295
2020-11-30 21:33:37,1,1,26.49,78,37.36450057,127.1031314
2020-11-30 21:33:38,1,1,25.81,79,37.36445432,127.10315990000002
2020-11-30 21:33:39,1,1,26.15,80,37.36426336,127.103163
2020-11-30 21:33:40,1,1,26.85,83,37.36389523,127.1031393
2020-11-30 21:33:41,1,1,,85,37.3636752,127.10314309999998
2020-11-30 21:33:42,1,1,,89,37.36365324,127.10317040000001
2020-11-30 21:33:43,1,1,,91,37.36322546,127.1031473
2020-11-30 21:33:44,1,1,,94,37.36299505,127.1031483
2020-11-30 21:33:45,1,1,,95,37.36298729999999,127.10318000000001
2020-11-30 21:33:46,1,1,,97,37.36252204,127.1031515
2020-11-30 21:33:47,1,1,,98,37.36253297,127.103176
2020-11-30 21:33:48,1,1,,98,37.3622958,127.10318229999999
2020-11-30 21:33:49,1,1,,99,37.36204869,127.10318400000001
2020-11-30 21:33:50,1,1,,99,37.36180083,127.10319009999998
2020-11-30 21:33:51,1,1,,99,37.36155385,127.103196
2020-11-30 21:33:52,1,1,,96,37.36130667,127.10320060000001
2020-11-30 21:33:53,1,1,20.0,95,37.36083595,127.1031781
2020-11-30 21:33:54,1,1,19.58,94,37.36061661,127.1031785
2020-11-30 21:33:55,1,1,19.58,91,37.36039525,127.10318090000001
2020-11-30 21:33:56,1,1,19.79,88,37.36017865,127.10318459999999
2020-11-30 21:33:57,1,1,21.33,87,37.35996431,127.1031892
2020-11-30 21:33:58,1,1,23.66,88,37.35995246,127.103223
2020-11-30 21:33:59,1,1,25.81,90,37.35952772,127.1031933
2020-11-30 21:34:00,1,1,26.85,91,37.35930734,127.1031942
2020-11-30 21:34:01,1,1,26.15,93,37.35908044,127.10319380000001
