dt,provider,device_name,latitude,longtitude,altitude,speed,accuracy,time_utc
2020-11-27 14:47:28,gps,device0,37.37614368,127.1031365,88.67909888,104.36521,6,1610000000000.0
2020-11-27 14:47:29,gps,device0,37.37587466,127.1031365,88.48202972,102.92244000000001,6,1610000000000.0
2020-11-27 14:47:30,gps,device0,37.3756093,127.10313729999999,88.26327909,103.32351,6,1610000000000.0
2020-11-27 14:47:31,gps,device0,37.37535009,127.1031366,88.0405477,103.6105,6,1610000000000.0
2020-11-27 14:47:32,gps,device0,37.375088899999994,127.1031394,87.80070474,101.84552,6,1610000000000.0
2020-11-27 14:47:33,gps,device0,37.37483893,127.1031493,87.53997426,100.17027,6,1610000000000.0
2020-11-27 14:47:34,gps,device0,37.37459059,127.10315020000002,87.27125190000001,100.44905,6,1610000000000.0
2020-11-27 14:47:35,gps,device0,37.37433817,127.1031549,86.95271884,99.72925,6,1610000000000.0
2020-11-27 14:47:36,gps,device0,37.37409006,127.10315990000002,86.62261356,99.609436,6,1610000000000.0
2020-11-27 14:47:37,gps,device0,37.37384385,127.1031595,86.29372371,97.75010999999999,6,1610000000000.0
2020-11-27 14:47:38,gps,device0,37.37360563,127.1031597,85.98518492,96.764496,6,1610000000000.0
2020-11-27 14:47:39,gps,device0,37.37336894,127.10316,85.69483032,97.46105,6,1610000000000.0
2020-11-27 14:47:40,gps,device0,37.37313557,127.1031575,85.40056159999999,95.18915,6,1610000000000.0
2020-11-27 14:47:41,gps,device0,37.37290075,127.1031591,85.11065883,96.3623,6,1610000000000.0
2020-11-27 14:47:42,gps,device0,37.37266602,127.1031592,84.82504945,94.49925,6,1610000000000.0
2020-11-27 14:47:43,gps,device0,37.37243345,127.1031595,84.55490329,93.784256,6,1610000000000.0
2020-11-27 14:47:44,gps,device0,37.37220321,127.1031607,84.31383292,94.947525,6,1610000000000.0
2020-11-27 14:47:45,gps,device0,37.37197164,127.10316159999999,84.10522835,95.96931500000001,6,1610000000000.0
2020-11-27 14:47:46,gps,device0,37.37173412,127.1031622,83.91237879,96.51198000000001,6,1610000000000.0
2020-11-27 14:47:47,gps,device0,37.37149385,127.10315940000001,83.85592473,96.508965,8,1610000000000.0
2020-11-27 14:47:48,gps,device0,37.37125052,127.1031582,83.78911263,98.3625,8,1610000000000.0
2020-11-27 14:47:49,gps,device0,37.37100134,127.103163,83.71704026,100.32996,8,1610000000000.0
2020-11-27 14:47:50,gps,device0,37.3707542,127.10316370000001,83.65311621,99.64188,8,1610000000000.0
2020-11-27 14:47:51,gps,device0,37.37050059,127.1031629,83.55993638,101.80946999999999,6,1610000000000.0
2020-11-27 14:47:52,gps,device0,37.37024219,127.1031615,83.42442644,103.668594,6,1610000000000.0
2020-11-27 14:47:53,gps,device0,37.36999122,127.1031467,83.29580629,103.496864,6,1610000000000.0
2020-11-27 14:47:54,gps,device0,37.36973477,127.10314050000001,83.16548105,102.26189000000001,6,1610000000000.0
2020-11-27 14:47:55,gps,device0,37.36948113,127.1031442,83.02744984,101.13976,6,1610000000000.0
2020-11-27 14:47:56,gps,device0,37.36923182,127.103146,82.88474648,99.68938399999999,6,1610000000000.0
2020-11-27 14:47:57,gps,device0,37.36898366,127.10314960000001,82.71199993,98.43719499999999,6,1610000000000.0
2020-11-27 14:47:58,gps,device0,37.36873731,127.10315109999999,82.5282083,96.64201,6,1610000000000.0
2020-11-27 14:47:59,gps,device0,37.36848762,127.1031486,82.32393978,96.59291,6,1610000000000.0
2020-11-27 14:48:00,gps,device0,37.36823943,127.1031475,82.11641323,97.37868,6,1610000000000.0
